step,task,acc_pretrain_T0,acc_pretrain_T1,acc_pretrain_T2,acc_pretrain_T3,acc_pretrain_T4,online_acc_catf_sgd_0.01,repeat_catf_sgd_0.01,times_catf_sgd_0.01,train_batches_catf_sgd_0.01,online_acc_conr1_sgd_0.01,repeat_conr1_sgd_0.01,times_conr1_sgd_0.01,train_batches_conr1_sgd_0.01,online_acc_conr50_sgd_0.01,repeat_conr50_sgd_0.01,times_conr50_sgd_0.01,train_batches_conr50_sgd_0.01,acc_catf_sgd_0.01_T0,acc_catf_sgd_0.01_T1,acc_catf_sgd_0.01_T2,acc_catf_sgd_0.01_T3,acc_catf_sgd_0.01_T4,acc_conr1_sgd_0.01_T0,acc_conr1_sgd_0.01_T1,acc_conr1_sgd_0.01_T2,acc_conr1_sgd_0.01_T3,acc_conr1_sgd_0.01_T4,acc_conr50_sgd_0.01_T0,acc_conr50_sgd_0.01_T1,acc_conr50_sgd_0.01_T2,acc_conr50_sgd_0.01_T3,acc_conr50_sgd_0.01_T4,acc_avg_catf_sgd_0.01,acc_avg_conr1_sgd_0.01,acc_avg_conr50_sgd_0.01,acc_avg_pretrain,forget_catf_sgd_0.01_T0,forget_catf_sgd_0.01_T1,forget_catf_sgd_0.01_T2,forget_catf_sgd_0.01_T3,forget_catf_sgd_0.01_T4,forget_avg_catf_sgd_0.01,forget_conr1_sgd_0.01_T0,forget_conr1_sgd_0.01_T1,forget_conr1_sgd_0.01_T2,forget_conr1_sgd_0.01_T3,forget_conr1_sgd_0.01_T4,forget_avg_conr1_sgd_0.01,forget_conr50_sgd_0.01_T0,forget_conr50_sgd_0.01_T1,forget_conr50_sgd_0.01_T2,forget_conr50_sgd_0.01_T3,forget_conr50_sgd_0.01_T4,forget_avg_conr50_sgd_0.01
10,0,0.88,0.584,0.689,0.852,0.802,0.90625,1,0.012145757675170898,1,0.90625,1,0.44336891174316406,2,0.9375,50,1.3761177062988281,100,0.891,0.58,0.692,0.858,0.799,0.889,0.596,0.704,0.856,0.816,0.918,0.638,0.745,0.853,0.846,0.764,0.7722,0.8,0.7614,0.001000046730041504,0.00700002908706665,0.001000046730041504,0.0,0.003999948501586914,0.0026000142097473145,0.0,0.0,0.0,0.0009999871253967285,0.0,0.0001999974250793457,0.008000016212463379,0.02399998903274536,0.001999974250793457,0.0,0.0059999823570251465,0.007999992370605469
11,0,0.88,0.584,0.689,0.852,0.802,0.96875,1,0.011572837829589844,1,0.9375,1,0.3175017833709717,2,1.0,50,1.2022528648376465,100,0.894,0.58,0.692,0.858,0.8,0.888,0.596,0.71,0.858,0.82,0.923,0.65,0.742,0.85,0.842,0.76479995,0.7744,0.8014,0.7614,0.0,0.00700002908706665,0.001000046730041504,0.0,0.0029999613761901855,0.002200007438659668,0.0009999871253967285,0.0,0.0,0.0,0.0,0.0001999974250793457,0.003000020980834961,0.012000024318695068,0.004999995231628418,0.0029999613761901855,0.009999990463256836,0.006599998474121094
12,0,0.88,0.584,0.689,0.852,0.802,0.90625,1,0.012377023696899414,1,0.90625,1,0.3362557888031006,2,0.875,50,1.3551597595214844,100,0.894,0.58,0.696,0.858,0.801,0.886,0.6,0.714,0.858,0.822,0.926,0.654,0.732,0.842,0.836,0.7658,0.776,0.798,0.7614,0.0,0.00700002908706665,0.0,0.0,0.001999974250793457,0.0018000006675720215,0.003000020980834961,0.0,0.0,0.0,0.0,0.0006000041961669922,0.0,0.008000016212463379,0.014999985694885254,0.010999977588653564,0.015999972820281982,0.009999990463256836
13,0,0.88,0.584,0.689,0.852,0.802,0.84375,1,0.013621091842651367,1,0.84375,1,0.3433957099914551,2,0.90625,50,1.3841609954833984,100,0.895,0.58,0.695,0.857,0.801,0.886,0.6,0.715,0.858,0.822,0.93,0.647,0.726,0.832,0.818,0.7656,0.7762,0.7906,0.7614,0.0,0.00700002908706665,0.0009999871253967285,0.0009999871253967285,0.001999974250793457,0.002199995517730713,0.003000020980834961,0.0,0.0,0.0,0.0,0.0006000041961669922,0.0,0.014999985694885254,0.0209999680519104,0.0209999680519104,0.0339999794960022,0.01819998025894165
14,0,0.88,0.584,0.689,0.852,0.802,0.96875,1,0.011731386184692383,1,0.96875,1,0.3287832736968994,2,1.0,50,1.343047857284546,100,0.894,0.58,0.698,0.858,0.8,0.885,0.602,0.716,0.86,0.824,0.931,0.664,0.73,0.833,0.827,0.766,0.7774,0.79700005,0.7614,0.0009999871253967285,0.00700002908706665,0.0,0.0,0.0029999613761901855,0.002199995517730713,0.0040000081062316895,0.0,0.0,0.0,0.0,0.0008000016212463378,0.0,0.0,0.01699995994567871,0.019999980926513672,0.02499997615814209,0.012399983406066895
15,0,0.88,0.584,0.689,0.852,0.802,0.90625,1,0.007849931716918945,1,0.90625,1,0.3300797939300537,2,0.96875,50,1.268686056137085,100,0.895,0.58,0.699,0.858,0.801,0.884,0.604,0.718,0.858,0.826,0.924,0.665,0.732,0.834,0.844,0.76659995,0.778,0.79980004,0.7614,0.0,0.00700002908706665,0.0,0.0,0.001999974250793457,0.0018000006675720215,0.004999995231628418,0.0,0.0,0.0020000338554382324,0.0,0.0014000058174133301,0.006999969482421875,0.0,0.014999985694885254,0.018999993801116943,0.008000016212463379,0.00979999303817749
16,0,0.88,0.584,0.689,0.852,0.802,0.84375,1,0.011112213134765625,1,0.84375,1,0.32195353507995605,2,0.90625,50,1.3171665668487549,100,0.896,0.58,0.698,0.858,0.802,0.884,0.605,0.718,0.857,0.827,0.94,0.657,0.722,0.824,0.822,0.76680005,0.77820003,0.79300004,0.7614,0.0,0.00700002908706665,0.0009999871253967285,0.0,0.0009999871253967285,0.0018000006675720215,0.004999995231628418,0.0,0.0,0.003000020980834961,0.0,0.0016000032424926757,0.0,0.008000016212463379,0.02499997615814209,0.02899998426437378,0.029999971389770508,0.01839998960494995
17,0,0.88,0.584,0.689,0.852,0.802,0.9375,1,0.01116490364074707,1,0.875,1,0.3259391784667969,2,1.0,50,1.312934398651123,100,0.897,0.58,0.7,0.858,0.8,0.884,0.606,0.718,0.856,0.826,0.938,0.636,0.723,0.829,0.814,0.767,0.778,0.788,0.7614,0.0,0.00700002908706665,0.0,0.0,0.0029999613761901855,0.0019999980926513673,0.004999995231628418,0.0,0.0,0.0040000081062316895,0.001000046730041504,0.002000010013580322,0.001999974250793457,0.029000043869018555,0.02399998903274536,0.02399998903274536,0.03799998760223389,0.023399996757507324
18,0,0.88,0.584,0.689,0.852,0.802,0.9375,1,0.012649059295654297,1,0.875,1,0.3293778896331787,2,0.9375,50,1.3060250282287598,100,0.898,0.581,0.7,0.857,0.801,0.884,0.608,0.719,0.855,0.828,0.938,0.648,0.728,0.818,0.83,0.76739997,0.7788,0.7924,0.7614,0.0,0.006000041961669922,0.0,0.0009999871253967285,0.001999974250793457,0.0018000006675720215,0.004999995231628418,0.0,0.0,0.004999995231628418,0.0,0.0019999980926513673,0.001999974250793457,0.017000019550323486,0.018999993801116943,0.034999966621398926,0.022000014781951904,0.018999993801116943
19,0,0.88,0.584,0.689,0.852,0.802,0.8125,1,0.007437467575073242,1,0.875,1,0.3370492458343506,2,0.9375,50,1.3565313816070557,100,0.898,0.581,0.7,0.858,0.8,0.887,0.608,0.722,0.856,0.828,0.942,0.632,0.726,0.826,0.826,0.76739997,0.7802,0.79039997,0.7614,0.0,0.006000041961669922,0.0,0.0,0.0029999613761901855,0.0018000006675720215,0.001999974250793457,0.0,0.0,0.0040000081062316895,0.0,0.0011999964714050292,0.0,0.03299999237060547,0.0209999680519104,0.027000010013580322,0.026000022888183594,0.02139999866485596
